month,forecast_units,receipts_units,planned_receipts_units,closing_units,closing_value_usd,purchases_usd,stockout_units,items_in_stockout,cogs_usd,weeks_of_supply,scenario
2026-10,178518.0,97748.0,91806.0,376906.0,2458555.14,322249.96,507.0,1,1112491.643,9.6,Service 90%
2026-11,165826.0,65104.0,80436.0,357989.0,2148473.08,1085138.03,1369.0,1,1155529.1139,8.1,Service 90%
2026-12,162126.0,70958.0,78812.0,350490.0,2119948.34,1140172.35,4857.0,3,1137751.9232,8.1,Service 90%
2027-01,155089.0,0.0,404614.0,600015.0,4065222.44,1499931.28,0.0,0,889590.2493,19.8,Service 90%
2027-02,211934.0,0.0,204323.0,592404.0,3900021.89,1413499.68,0.0,0,1143420.4504,14.8,Service 90%
2027-03,291017.0,0.0,326492.0,627879.0,4205821.16,1614256.6300000001,0.0,0,1556991.0256,11.7,Service 90%
2027-04,310243.0,0.0,284458.0,602094.0,3941681.34,1117249.16,0.0,0,1698045.7764,10.1,Service 90%
2027-05,258662.0,0.0,283531.0,626963.0,4186856.23,823519.46,0.0,0,1500420.5858,12.1,Service 90%
2027-06,196677.0,0.0,119226.0,549512.0,3771886.86,119590.91,0.0,0,1166101.4272,14.0,Service 90%
2027-07,168531.0,0.0,179326.0,560307.0,3748781.04,705147.3,0.0,0,1002802.7639,16.2,Service 90%
2027-08,157299.0,0.0,153163.0,556171.0,3784489.7199999997,0.0,0.0,0,976170.214,16.8,Service 90%
2026-09,140899.0,133712.0,0.0,365363.0,2383237.23,996334.42,654.0,1,883938.0189,11.7,Cash cap $1.0M/mo
2026-10,178518.0,97748.0,7460.0,292560.0,2137619.32,990450.51,507.0,1,1112491.643,8.3,Cash cap $1.0M/mo
2026-11,165826.0,65104.0,22320.0,216755.0,1583504.87,982334.0599999999,2597.0,2,1155529.1139,5.9,Cash cap $1.0M/mo
2026-12,162126.0,70958.0,169870.0,300314.0,1838653.29,984886.87,4857.0,3,1137751.9232,7.0,Cash cap $1.0M/mo
2027-01,155089.0,0.0,193516.0,356458.0,2120884.32,998408.1000000001,17717.0,2,889590.2493,10.3,Cash cap $1.0M/mo
2027-02,211934.0,0.0,229242.0,377992.0,2522525.9899999998,985161.03,4226.0,3,1143420.4504,9.6,Cash cap $1.0M/mo
2027-03,291017.0,0.0,281052.0,379482.0,2482678.09,991536.4199999999,11455.0,6,1556991.0256,6.9,Cash cap $1.0M/mo
2027-04,310243.0,0.0,231756.0,341490.0,2524950.77,998767.93,40495.0,7,1698045.7764,6.4,Cash cap $1.0M/mo
2027-05,258662.0,0.0,215446.0,363951.0,2271352.66,986880.0,65677.0,5,1500420.5858,6.6,Cash cap $1.0M/mo
2027-06,196677.0,0.0,252713.0,430784.0,2325168.56,364651.26,10797.0,4,1166101.4272,8.6,Cash cap $1.0M/mo
2027-07,168531.0,0.0,142202.0,414924.0,2005513.54,653749.03,10469.0,5,1002802.7639,8.7,Cash cap $1.0M/mo
2027-08,157299.0,0.0,152619.0,420534.0,2093796.82,0.0,10290.0,4,976170.214,9.3,Cash cap $1.0M/mo
2026-09,140899.0,133712.0,0.0,365363.0,2383237.23,4310345.84,654.0,1,883938.0189,11.7,Ocean +21 days
2026-10,178518.0,97748.0,89576.0,374676.0,2471242.72,348329.32,507.0,1,1112491.643,9.6,Ocean +21 days
2026-11,165826.0,65104.0,154578.0,429901.0,2342221.7600000002,1181641.19,1369.0,1,1155529.1139,8.8,Ocean +21 days
2026-12,162126.0,70958.0,24474.0,368064.0,1881412.49,1067913.38,4857.0,3,1137751.9232,7.2,Ocean +21 days
2027-01,155089.0,0.0,426606.0,644406.0,4071063.09,1511945.53,4825.0,2,889590.2493,19.8,Ocean +21 days
2027-02,211934.0,0.0,330903.0,763375.0,4978820.01,1225536.08,0.0,0,1143420.4504,18.9,Ocean +21 days
2027-03,291017.0,0.0,314452.0,786810.0,5169433.82,1688648.05,0.0,0,1556991.0256,14.4,Ocean +21 days
2027-04,310243.0,0.0,287686.0,764253.0,4969149.89,883646.47,0.0,0,1698045.7764,12.7,Ocean +21 days
2027-05,258662.0,0.0,278923.0,784514.0,5174959.35,698218.58,0.0,0,1500420.5858,14.9,Ocean +21 days
2027-06,196677.0,0.0,116652.0,704489.0,4722696.67,91605.6,0.0,0,1166101.4272,17.5,Ocean +21 days
2027-07,168531.0,0.0,178796.0,714754.0,4696450.64,705125.7,0.0,0,1002802.7639,20.3,Ocean +21 days
2027-08,157299.0,0.0,153169.0,710624.0,4732180.39,0.0,0.0,0,976170.214,21.0,Ocean +21 days
2026-09,162032.0,133712.0,0.0,344486.0,2255827.18,4529005.28,910.0,1,1016510.6393,9.6,Demand +15%
2026-10,205294.0,97748.0,139591.0,377374.0,2443098.26,157125.25,843.0,1,1279353.7346,8.3,Demand +15%
2026-11,190699.0,65104.0,121782.0,385868.0,2108980.19,1496639.3900000001,12307.0,1,1328818.4841,6.9,Demand +15%
2026-12,186447.0,70958.0,130916.0,416314.0,2588055.07,966315.51,15019.0,3,1308420.057,8.6,Demand +15%
2027-01,178351.0,0.0,515203.0,753166.0,5003087.75,1903006.43,0.0,0,1023018.3083,21.2,Demand +15%
2027-02,243726.0,0.0,242267.0,751707.0,5013761.31,1577035.38,0.0,0,1314934.6493,16.5,Demand +15%
2027-03,334668.0,0.0,359259.0,776298.0,5132951.68,1814762.56,0.0,0,1790543.6577,12.4,Demand +15%
2027-04,356782.0,0.0,330380.0,749896.0,4967569.92,1327759.14,0.0,0,1952759.5515,11.0,Demand +15%
2027-05,297459.0,0.0,313776.0,766213.0,5094385.4,947027.1499999999,0.0,0,1725458.2197,12.8,Demand +15%
2027-06,226179.0,0.0,142236.0,682270.0,4658587.99,137566.94,0.0,0,1341007.431,15.0,Demand +15%
2027-07,193811.0,0.0,201050.0,689509.0,4590200.03,810886.1,0.0,0,1153212.6123,17.2,Demand +15%
2027-08,180893.0,0.0,181483.0,690099.0,4674382.3,0.0,0.0,0,1122591.7456,18.0,Demand +15%
2026-09,140899.0,133712.0,0.0,365363.0,2383237.23,4343558.87,654.0,1,883938.0189,11.7,Coverage rule (2mo)
2026-10,178518.0,97748.0,202248.0,487348.0,3117333.08,166228.33000000002,507.0,1,1112491.643,12.1,Coverage rule (2mo)
2026-11,165826.0,65104.0,134749.0,522744.0,2902873.17,1329571.58,1369.0,1,1155529.1139,10.9,Coverage rule (2mo)
2026-12,162126.0,70958.0,107674.0,544107.0,3245877.35,868195.14,4857.0,3,1137751.9232,12.4,Coverage rule (2mo)
2027-01,155089.0,0.0,435666.0,824684.0,5262889.96,1711412.91,0.0,0,889590.2493,25.6,Coverage rule (2mo)
2027-02,211934.0,0.0,210635.0,823385.0,5272022.71,1335475.88,0.0,0,1143420.4504,20.0,Coverage rule (2mo)
2027-03,291017.0,0.0,321968.0,854336.0,5443475.56,1614058.83,0.0,0,1556991.0256,15.1,Coverage rule (2mo)
2027-04,310243.0,0.0,289674.0,833767.0,5334251.02,1117186.49,0.0,0,1698045.7764,13.6,Coverage rule (2mo)
2027-05,258662.0,0.0,280887.0,855992.0,5501219.24,823592.0499999999,0.0,0,1500420.5858,15.9,Coverage rule (2mo)
2027-06,196677.0,0.0,119226.0,778541.0,5086216.49,119569.31,0.0,0,1166101.4272,18.9,Coverage rule (2mo)
2027-07,168531.0,0.0,179322.0,789332.0,5062959.67,705128.7,0.0,0,1002802.7639,21.9,Coverage rule (2mo)
2027-08,157299.0,0.0,153161.0,785194.0,5098720.25,0.0,0.0,0,976170.214,22.6,Coverage rule (2mo)
