SKU,Product,Division,Category,Subcategory,Supplier,Origin,Sourcing,Month,Date,Action,Action Rank,On Hand Units,Min,Max,Demand Units,In Transit Units,Planned Receipts,Inbound Units,Gap to Min Units,Gap to Min USD,Excess Units,Excess USD,Required at Min USD,On Hand USD,Order Units,Order USD,Unit Cost,Retail Price,Lead Time Days,Case Pack,MOQ,Safety Stock,Weeks of Supply,Stockout Units,Origin Surcharge
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2026-10,2026-10-01,Buy,2,5556.0,15213.0,18379.0,3716.0,3894.0,0.0,3894.0,9657.0,77870.18519999999,0.0,0.0,122671.54679999998,44801.36,0,0.0,8.0636,26.99,102,6,2000,4450.0,8.2,0.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2026-11,2026-11-01,Buy,2,2535.0,15213.0,18379.0,4796.0,1775.0,0.0,1775.0,12678.0,102230.32079999999,0.0,0.0,122671.54679999998,20441.23,4872,39285.86,8.0636,26.99,102,6,2000,4450.0,4.0,0.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2026-12,2026-12-01,Stockout,1,0.0,15213.0,18379.0,5364.0,2194.0,0.0,2194.0,15213.0,122671.54679999998,0.0,0.0,122671.54679999998,0.0,0,0.0,8.0636,26.99,102,6,2000,4450.0,0.0,635.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2027-01,2027-01-01,Excess,5,19018.0,15213.0,18379.0,2438.0,0.0,21456.0,21456.0,0.0,0.0,639.0,5152.640399999999,122671.54679999998,153353.54,4284,34544.46,8.0636,26.99,102,6,2000,4450.0,34.6,0.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2027-02,2027-02-01,In range,4,16665.0,15213.0,18379.0,2353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122671.54679999998,134379.89,0,0.0,8.0636,26.99,102,6,2000,4450.0,30.2,0.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2027-03,2027-03-01,Excess,5,19019.0,15213.0,18379.0,2518.0,0.0,4872.0,4872.0,0.0,0.0,640.0,5160.704,122671.54679999998,153361.61,4500,36286.2,8.0636,26.99,102,6,2000,4450.0,34.9,0.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2027-04,2027-04-01,In range,4,16490.0,15213.0,18379.0,2529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122671.54679999998,132968.76,0,0.0,8.0636,26.99,102,6,2000,4450.0,30.8,0.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2027-05,2027-05-01,Excess,5,18384.0,15213.0,18379.0,2390.0,0.0,4284.0,4284.0,0.0,0.0,5.0,40.318,122671.54679999998,148241.22,0,0.0,8.0636,26.99,102,6,2000,4450.0,34.7,0.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2027-06,2027-06-01,In range,4,16132.0,15213.0,18379.0,2252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122671.54679999998,130082.0,0,0.0,8.0636,26.99,102,6,2000,4450.0,30.1,0.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2027-07,2027-07-01,Excess,5,18383.0,15213.0,18379.0,2249.0,0.0,4500.0,4500.0,0.0,0.0,4.0,32.2544,122671.54679999998,148233.16,0,0.0,8.0636,26.99,102,6,2000,4450.0,33.3,0.0,0.0610000481012331
BTR-1003,Lion's Mane Mushroom Grow Kit,Indoor Growing,Mushroom Kits,Single Kits,SUP-02,China,Import,2027-08,2027-08-01,In range,4,15995.0,15213.0,18379.0,2388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122671.54679999998,128977.28,0,0.0,8.0636,26.99,102,6,2000,4450.0,,0.0,0.0610000481012331
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2026-09,2026-09-01,Buy,2,6407.0,12071.0,14691.0,2166.0,0.0,0.0,0.0,5664.0,72509.3952,0.0,0.0,154530.5278,82021.13,13168,168574.1,12.8018,39.99,95,4,1500,3775.0,11.7,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2026-10,2026-10-01,Buy,2,5562.0,12071.0,14691.0,2976.0,2131.0,0.0,2131.0,6509.0,83326.9162,0.0,0.0,154530.5278,71203.61,0,0.0,12.8018,39.99,95,4,1500,3775.0,10.4,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2026-11,2026-11-01,Buy,2,4150.0,12071.0,14691.0,3829.0,2417.0,0.0,2417.0,7921.0,101403.0578,0.0,0.0,154530.5278,53127.47,3852,49312.53,12.8018,39.99,95,4,1500,3775.0,8.4,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2026-12,2026-12-01,Buy,2,3459.0,12071.0,14691.0,4272.0,3581.0,0.0,3581.0,8612.0,110249.1016,0.0,0.0,154530.5278,44281.43,0,0.0,12.8018,39.99,95,4,1500,3775.0,8.0,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2027-01,2027-01-01,In range,4,14691.0,12071.0,14691.0,1936.0,0.0,13168.0,13168.0,0.0,0.0,0.0,0.0,154530.5278,188071.24,3868,49517.36,12.8018,39.99,95,4,1500,3775.0,34.0,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2027-02,2027-02-01,In range,4,12828.0,12071.0,14691.0,1863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154530.5278,164221.49,0,0.0,12.8018,39.99,95,4,1500,3775.0,29.7,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2027-03,2027-03-01,Excess,5,14692.0,12071.0,14691.0,1988.0,0.0,3852.0,3852.0,0.0,0.0,1.0,12.8018,154530.5278,188084.05,3520,45062.34,12.8018,39.99,95,4,1500,3775.0,34.4,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2027-04,2027-04-01,In range,4,12701.0,12071.0,14691.0,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154530.5278,162595.66,0,0.0,12.8018,39.99,95,4,1500,3775.0,30.3,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2027-05,2027-05-01,Excess,5,14693.0,12071.0,14691.0,1876.0,0.0,3868.0,3868.0,0.0,0.0,2.0,25.6036,154530.5278,188096.85,0,0.0,12.8018,39.99,95,4,1500,3775.0,35.5,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2027-06,2027-06-01,In range,4,12930.0,12071.0,14691.0,1763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154530.5278,165527.27,0,0.0,12.8018,39.99,95,4,1500,3775.0,31.0,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2027-07,2027-07-01,Excess,5,14694.0,12071.0,14691.0,1756.0,0.0,3520.0,3520.0,0.0,0.0,3.0,38.4054,154530.5278,188109.65,0,0.0,12.8018,39.99,95,4,1500,3775.0,34.2,0.0,0.0579999963711382
BTR-1004,Mushroom Grow Kit 2-Pack,Indoor Growing,Mushroom Kits,Multi-Packs,SUP-01,China,Import,2027-08,2027-08-01,In range,4,12835.0,12071.0,14691.0,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154530.5278,164311.1,0,0.0,12.8018,39.99,95,4,1500,3775.0,,0.0,0.0579999963711382
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2026-09,2026-09-01,Buy,2,4499.0,10935.0,13148.0,2355.0,0.0,0.0,0.0,6436.0,93893.51680000001,0.0,0.0,159528.52800000002,65635.01,15864,231436.72,14.5888,44.99,102,4,1200,3412.0,6.4,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2026-10,2026-10-01,Buy,2,4123.0,10935.0,13148.0,3339.0,2963.0,0.0,2963.0,6812.0,99378.90560000001,0.0,0.0,159528.52800000002,60149.62,2372,34604.63,14.5888,44.99,102,4,1200,3412.0,5.9,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2026-11,2026-11-01,Buy,2,1739.0,10935.0,13148.0,4434.0,2050.0,0.0,2050.0,9196.0,134158.6048,0.0,0.0,159528.52800000002,25369.92,2612,38105.95,14.5888,44.99,102,4,1200,3412.0,2.6,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2026-12,2026-12-01,Stockout,1,0.0,10935.0,13148.0,5105.0,3039.0,0.0,3039.0,10935.0,159528.52800000002,0.0,0.0,159528.52800000002,0.0,2372,34604.63,14.5888,44.99,102,4,1200,3412.0,0.0,327.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2027-01,2027-01-01,Excess,5,13477.0,10935.0,13148.0,2387.0,0.0,15864.0,15864.0,0.0,0.0,329.0,4799.715200000001,159528.52800000002,196613.26,2624,38281.01,14.5888,44.99,102,4,1200,3412.0,22.3,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2027-02,2027-02-01,Excess,5,13478.0,10935.0,13148.0,2371.0,0.0,2372.0,2372.0,0.0,0.0,330.0,4814.304,159528.52800000002,196627.85,2544,37113.91,14.5888,44.99,102,4,1200,3412.0,21.9,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2027-03,2027-03-01,Excess,5,13478.0,10935.0,13148.0,2612.0,0.0,2612.0,2612.0,0.0,0.0,330.0,4814.304,159528.52800000002,196627.85,2620,38222.66,14.5888,44.99,102,4,1200,3412.0,21.9,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2027-04,2027-04-01,Excess,5,13151.0,10935.0,13148.0,2699.0,0.0,2372.0,2372.0,0.0,0.0,3.0,43.766400000000004,159528.52800000002,191857.31,2856,41665.61,14.5888,44.99,102,4,1200,3412.0,21.4,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2027-05,2027-05-01,Excess,5,13150.0,10935.0,13148.0,2625.0,0.0,2624.0,2624.0,0.0,0.0,2.0,29.1776,159528.52800000002,191842.72,0,0.0,14.5888,44.99,102,4,1200,3412.0,21.3,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2027-06,2027-06-01,In range,4,13148.0,10935.0,13148.0,2546.0,0.0,2544.0,2544.0,0.0,0.0,0.0,0.0,159528.52800000002,191813.54,0,0.0,14.5888,44.99,102,4,1200,3412.0,20.8,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2027-07,2027-07-01,Excess,5,13151.0,10935.0,13148.0,2617.0,0.0,2620.0,2620.0,0.0,0.0,3.0,43.766400000000004,159528.52800000002,191857.31,0,0.0,14.5888,44.99,102,4,1200,3412.0,19.9,0.0,0.0610000481012331
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,China,Import,2027-08,2027-08-01,In range,4,13148.0,10935.0,13148.0,2859.0,0.0,2856.0,2856.0,0.0,0.0,0.0,0.0,159528.52800000002,191813.54,0,0.0,14.5888,44.99,102,4,1200,3412.0,,0.0,0.0610000481012331
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2026-09,2026-09-01,In range,4,12427.0,10607.0,13416.0,2256.0,4774.0,0.0,4774.0,0.0,0.0,0.0,0.0,315999.5012,370220.21,2828,84250.64,29.7916,99.99,88,2,1000,2368.0,20.7,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2026-10,2026-10-01,In range,4,13183.0,10607.0,13416.0,2880.0,3636.0,0.0,3636.0,0.0,0.0,0.0,0.0,315999.5012,392742.66,0,0.0,29.7916,99.99,88,2,1000,2368.0,22.2,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2026-11,2026-11-01,Excess,5,13663.0,10607.0,13416.0,3129.0,3609.0,0.0,3609.0,0.0,0.0,247.0,7358.5252,315999.5012,407042.63,3948,117617.24,29.7916,99.99,88,2,1000,2368.0,23.6,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2026-12,2026-12-01,In range,4,13416.0,10607.0,13416.0,3075.0,0.0,2828.0,2828.0,0.0,0.0,0.0,0.0,315999.5012,399684.11,0,0.0,29.7916,99.99,88,2,1000,2368.0,23.9,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2027-01,2027-01-01,In range,4,11403.0,10607.0,13416.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315999.5012,339713.61,5200,154916.32,29.7916,99.99,88,2,1000,2368.0,19.8,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2027-02,2027-02-01,In range,4,13416.0,10607.0,13416.0,1935.0,0.0,3948.0,3948.0,0.0,0.0,0.0,0.0,315999.5012,399684.11,3034,90387.71,29.7916,99.99,88,2,1000,2368.0,22.4,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2027-03,2027-03-01,In range,4,10842.0,10607.0,13416.0,2574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315999.5012,323000.53,0,0.0,29.7916,99.99,88,2,1000,2368.0,18.1,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2027-04,2027-04-01,In range,4,13416.0,10607.0,13416.0,2626.0,0.0,5200.0,5200.0,0.0,0.0,0.0,0.0,315999.5012,399684.11,4900,145978.84,29.7916,99.99,88,2,1000,2368.0,22.5,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2027-05,2027-05-01,In range,4,13416.0,10607.0,13416.0,3034.0,0.0,3034.0,3034.0,0.0,0.0,0.0,0.0,315999.5012,399684.11,0,0.0,29.7916,99.99,88,2,1000,2368.0,23.9,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2027-06,2027-06-01,In range,4,10813.0,10607.0,13416.0,2603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315999.5012,322136.57,0,0.0,29.7916,99.99,88,2,1000,2368.0,19.9,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2027-07,2027-07-01,Excess,5,13417.0,10607.0,13416.0,2296.0,0.0,4900.0,4900.0,0.0,0.0,1.0,29.7916,315999.5012,399713.9,0,0.0,29.7916,99.99,88,2,1000,2368.0,24.2,0.0,0.0489999684829089
BTR-1101,Water Garden 3-Gallon Aquaponics,Indoor Growing,Water Garden,Systems,SUP-03,Vietnam,Import,2027-08,2027-08-01,In range,4,11014.0,10607.0,13416.0,2403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315999.5012,328124.68,0,0.0,29.7916,99.99,88,2,1000,2368.0,,0.0,0.0489999684829089
BTR-1102,Water Garden Refill & Seed Kit,Indoor Growing,Water Garden,Consumables,SUP-03,Vietnam,Import,2026-09,2026-09-01,In transit,3,14566.0,16234.0,20248.0,3140.0,3555.0,0.0,3555.0,1668.0,7348.874400000001,0.0,0.0,71523.75720000001,64174.88,9876,43511.68,4.4058,16.99,88,12,2500,4459.0,15.9,0.0,0.0489999684829089
