month,sku,account,units,revenue_usd,cogs_usd
2025-01,BTR-1002,Home Depot,584,8464.61,4232.42
2025-01,BTR-1002,Lowe's,351,5087.46,2543.8
2025-01,BTR-1002,Target,377,5464.31,2732.23
2025-01,BTR-1002,Walmart,390,5652.74,2826.45
2025-01,BTR-1002,Costco,319,4623.65,2311.89
2025-01,BTR-1002,Kroger,59,855.16,427.59
2025-01,BTR-1002,Whole Foods,125,1811.77,905.91
2025-01,BTR-1002,Amazon,631,13561.07,4573.05
2025-01,BTR-1002,DTC Shopify,387,8317.17,2804.71
2025-02,BTR-1002,Home Depot,650,9421.23,4710.74
2025-02,BTR-1002,Lowe's,343,4971.51,2485.82
2025-02,BTR-1002,Target,397,5754.2,2877.18
2025-02,BTR-1002,Walmart,441,6391.94,3196.06
2025-02,BTR-1002,Costco,359,5203.42,2601.78
2025-02,BTR-1002,Kroger,66,956.62,478.32
2025-02,BTR-1002,Whole Foods,112,1623.35,811.7
2025-02,BTR-1002,Amazon,459,9864.55,3326.51
2025-02,BTR-1002,DTC Shopify,369,7930.33,2674.25
2025-03,BTR-1002,Home Depot,562,8145.74,4072.98
2025-03,BTR-1002,Lowe's,488,7073.17,3536.68
2025-03,BTR-1002,Target,336,4870.05,2435.09
2025-03,BTR-1002,Walmart,469,6797.78,3398.98
2025-03,BTR-1002,Costco,327,4739.6,2369.87
2025-03,BTR-1002,Kroger,65,942.12,471.07
2025-03,BTR-1002,Whole Foods,118,1710.32,855.18
2025-03,BTR-1002,Amazon,598,12851.86,4333.89
2025-03,BTR-1002,DTC Shopify,379,8145.24,2746.73
2025-04,BTR-1002,Home Depot,1120,16233.5,8116.98
2025-04,BTR-1002,Lowe's,822,11914.23,5957.28
2025-04,BTR-1002,Target,648,9392.24,4696.25
2025-04,BTR-1002,Walmart,800,11595.36,5797.84
2025-04,BTR-1002,Costco,754,10928.63,5464.46
2025-04,BTR-1002,Kroger,106,1536.39,768.21
2025-04,BTR-1002,Whole Foods,272,3942.42,1971.27
2025-04,BTR-1002,Amazon,1012,21749.3,7334.27
2025-04,BTR-1002,DTC Shopify,804,17279.09,5826.83
2025-05,BTR-1002,Home Depot,680,9856.06,4928.16
2025-05,BTR-1002,Lowe's,462,6696.32,3348.25
2025-05,BTR-1002,Target,344,4986.0,2493.07
2025-05,BTR-1002,Walmart,465,6739.8,3369.99
2025-05,BTR-1002,Costco,429,6218.01,3109.09
2025-05,BTR-1002,Kroger,63,913.13,456.58
2025-05,BTR-1002,Whole Foods,145,2101.66,1050.86
2025-05,BTR-1002,Amazon,682,14657.13,4942.66
2025-05,BTR-1002,DTC Shopify,519,11154.04,3761.35
2025-06,BTR-1002,Home Depot,484,7015.19,3507.69
2025-06,BTR-1002,Lowe's,434,6290.48,3145.33
2025-06,BTR-1002,Target,275,3985.9,1993.01
2025-06,BTR-1002,Walmart,438,6348.46,3174.32
2025-06,BTR-1002,Costco,319,4623.65,2311.89
2025-06,BTR-1002,Kroger,67,971.11,485.57
2025-06,BTR-1002,Whole Foods,137,1985.71,992.88
2025-06,BTR-1002,Amazon,669,14377.75,4848.44
2025-06,BTR-1002,DTC Shopify,371,7973.31,2688.75
2025-07,BTR-1002,Home Depot,603,8740.0,4370.12
2025-07,BTR-1002,Lowe's,458,6638.34,3319.26
2025-07,BTR-1002,Target,413,5986.1,2993.13
2025-07,BTR-1002,Walmart,494,7160.13,3580.17
2025-07,BTR-1002,Costco,430,6232.51,3116.34
2025-07,BTR-1002,Kroger,70,1014.59,507.31
2025-07,BTR-1002,Whole Foods,112,1623.35,811.7
2025-07,BTR-1002,Amazon,608,13066.77,4406.36
2025-07,BTR-1002,DTC Shopify,405,8704.02,2935.16
2025-08,BTR-1002,Home Depot,591,8566.07,4283.15
2025-08,BTR-1002,Lowe's,460,6667.33,3333.76
2025-08,BTR-1002,Target,396,5739.7,2869.93
2025-08,BTR-1002,Walmart,429,6218.01,3109.09
2025-08,BTR-1002,Costco,392,5681.73,2840.94
2025-08,BTR-1002,Kroger,65,942.12,471.07
2025-08,BTR-1002,Whole Foods,122,1768.29,884.17
2025-08,BTR-1002,Amazon,631,13561.07,4573.05
2025-08,BTR-1002,DTC Shopify,407,8747.0,2949.65
2025-09,BTR-1002,Home Depot,581,8421.13,4210.68
2025-09,BTR-1002,Lowe's,488,7073.17,3536.68
2025-09,BTR-1002,Target,395,5725.21,2862.68
2025-09,BTR-1002,Walmart,481,6971.71,3485.95
2025-09,BTR-1002,Costco,349,5058.48,2529.31
2025-09,BTR-1002,Kroger,60,869.65,434.84
2025-09,BTR-1002,Whole Foods,151,2188.62,1094.34
2025-09,BTR-1002,Amazon,643,13818.97,4660.01
2025-09,BTR-1002,DTC Shopify,351,7543.48,2543.8
2025-10,BTR-1002,Home Depot,913,13233.2,6616.78
2025-10,BTR-1002,Lowe's,795,11522.89,5761.6
2025-10,BTR-1002,Target,658,9537.18,4768.72
2025-10,BTR-1002,Walmart,663,9609.65,4804.96
2025-10,BTR-1002,Costco,531,7696.42,3848.32
2025-10,BTR-1002,Kroger,88,1275.49,637.76
2025-10,BTR-1002,Whole Foods,215,3116.25,1558.17
2025-10,BTR-1002,Amazon,1049,22544.48,7602.42
2025-10,BTR-1002,DTC Shopify,655,14076.87,4746.98
2025-11,BTR-1002,Home Depot,1361,19726.61,9863.58
2025-11,BTR-1002,Lowe's,939,13610.05,6805.21
2025-11,BTR-1002,Target,735,10653.24,5326.77
2025-11,BTR-1002,Walmart,1136,16465.41,8232.93
2025-11,BTR-1002,Costco,773,11204.02,5602.16
2025-11,BTR-1002,Kroger,136,1971.21,985.63
2025-11,BTR-1002,Whole Foods,350,5072.97,2536.55
2025-11,BTR-1002,Amazon,1618,34773.09,11726.13
2025-11,BTR-1002,DTC Shopify,924,19858.05,6696.51
2025-12,BTR-1002,Home Depot,1790,25944.62,12972.67
2025-12,BTR-1002,Lowe's,1273,18451.12,9225.81
2025-12,BTR-1002,Target,1299,18827.97,9414.24
2025-12,BTR-1002,Walmart,1269,18393.14,9196.82
2025-12,BTR-1002,Costco,1133,16421.93,8211.19
2025-12,BTR-1002,Kroger,177,2565.47,1282.77
2025-12,BTR-1002,Whole Foods,327,4739.6,2369.87
2025-12,BTR-1002,Amazon,2208,47453.01,16002.04
2025-12,BTR-1002,DTC Shopify,1250,26864.25,9059.12
2026-01,BTR-1002,Home Depot,652,9450.22,4725.24
2026-01,BTR-1002,Lowe's,500,7247.1,3623.65
2026-01,BTR-1002,Target,405,5870.15,2935.16
2026-01,BTR-1002,Walmart,444,6435.42,3217.8
2026-01,BTR-1002,Costco,394,5710.71,2855.44
2026-01,BTR-1002,Kroger,77,1116.05,558.04
2026-01,BTR-1002,Whole Foods,139,2014.69,1007.37
2026-01,BTR-1002,Amazon,562,12078.17,4072.98
2026-01,BTR-1002,DTC Shopify,497,10681.23,3601.91
2026-02,BTR-1002,Home Depot,502,7276.09,3638.14
2026-02,BTR-1002,Lowe's,507,7348.56,3674.38
2026-02,BTR-1002,Target,307,4449.72,2224.92
2026-02,BTR-1002,Walmart,446,6464.41,3232.3
2026-02,BTR-1002,Costco,398,5768.69,2884.43
2026-02,BTR-1002,Kroger,54,782.69,391.35
2026-02,BTR-1002,Whole Foods,141,2043.68,1021.87
2026-02,BTR-1002,Amazon,647,13904.94,4689.0
2026-02,BTR-1002,DTC Shopify,373,8016.29,2703.24
2026-03,BTR-1002,Home Depot,705,10218.41,5109.35
2026-03,BTR-1002,Lowe's,502,7276.09,3638.14
2026-03,BTR-1002,Target,462,6696.32,3348.25
2026-03,BTR-1002,Walmart,523,7580.47,3790.34
2026-03,BTR-1002,Costco,488,7073.17,3536.68
2026-03,BTR-1002,Kroger,64,927.63,463.83
2026-03,BTR-1002,Whole Foods,163,2362.55,1181.31
2026-03,BTR-1002,Amazon,850,18267.69,6160.2
2026-03,BTR-1002,DTC Shopify,411,8832.97,2978.64
2026-04,BTR-1002,Home Depot,625,9058.87,4529.56
2026-04,BTR-1002,Lowe's,477,6913.73,3456.96
2026-04,BTR-1002,Target,402,5826.67,2913.41
2026-04,BTR-1002,Walmart,485,7029.69,3514.94
2026-04,BTR-1002,Costco,341,4942.52,2471.33
2026-04,BTR-1002,Kroger,64,927.63,463.83
2026-04,BTR-1002,Whole Foods,147,2130.65,1065.35
2026-04,BTR-1002,Amazon,702,15086.96,5087.6
2026-04,BTR-1002,DTC Shopify,517,11111.05,3746.85
2026-05,BTR-1002,Home Depot,839,12160.63,6080.48
2026-05,BTR-1002,Lowe's,529,7667.43,3833.82
2026-05,BTR-1002,Target,402,5826.67,2913.41
2026-05,BTR-1002,Walmart,591,8566.07,4283.15
2026-05,BTR-1002,Costco,422,6116.55,3058.36
2026-05,BTR-1002,Kroger,78,1130.55,565.29
2026-05,BTR-1002,Whole Foods,185,2681.43,1340.75
2026-05,BTR-1002,Amazon,867,18633.04,6283.41
2026-05,BTR-1002,DTC Shopify,377,8102.26,2732.23
2026-06,BTR-1002,Home Depot,629,9116.85,4558.55
2026-06,BTR-1002,Lowe's,375,5435.32,2717.74
2026-06,BTR-1002,Target,398,5768.69,2884.43
2026-06,BTR-1002,Walmart,573,8305.18,4152.7
2026-06,BTR-1002,Costco,368,5333.87,2667.01
2026-06,BTR-1002,Kroger,64,927.63,463.83
2026-06,BTR-1002,Whole Foods,154,2232.11,1116.08
2026-06,BTR-1002,Amazon,646,13883.44,4681.76
2026-06,BTR-1002,DTC Shopify,421,9047.88,3051.11
2026-07,BTR-1002,Home Depot,669,9696.62,4848.44
2026-07,BTR-1002,Lowe's,482,6986.2,3493.2
2026-07,BTR-1002,Target,411,5957.12,2978.64
2026-07,BTR-1002,Walmart,386,5594.76,2797.46
2026-07,BTR-1002,Costco,367,5319.37,2659.76
2026-07,BTR-1002,Kroger,69,1000.1,500.06
2026-07,BTR-1002,Whole Foods,138,2000.2,1000.13
2026-07,BTR-1002,Amazon,593,12744.4,4297.65
2026-07,BTR-1002,DTC Shopify,374,8037.78,2710.49
2026-08,BTR-1002,Home Depot,734,10638.74,5319.52
2026-08,BTR-1002,Lowe's,533,7725.41,3862.81
2026-08,BTR-1002,Target,476,6899.24,3449.71
2026-08,BTR-1002,Walmart,655,9493.7,4746.98
2026-08,BTR-1002,Costco,448,6493.4,3246.79
2026-08,BTR-1002,Kroger,82,1188.52,594.28
2026-08,BTR-1002,Whole Foods,171,2478.51,1239.29
2026-08,BTR-1002,Amazon,784,16849.26,5681.88
2026-08,BTR-1002,DTC Shopify,492,10573.77,3565.67
2024-09,BTR-1003,Home Depot,539,8437.61,4346.28
2024-09,BTR-1003,Lowe's,310,4852.8,2499.72
2024-09,BTR-1003,Target,301,4711.91,2427.14
2024-09,BTR-1003,Walmart,387,6058.18,3120.61
2024-09,BTR-1003,Costco,270,4226.63,2177.17
2024-09,BTR-1003,Kroger,41,641.82,330.61
2024-09,BTR-1003,Whole Foods,109,1706.31,878.93
2024-09,BTR-1003,Amazon,560,12998.38,4515.62
2024-09,BTR-1003,DTC Shopify,244,5663.58,1967.52
2024-10,BTR-1003,Home Depot,1563,24467.51,12603.41
2024-10,BTR-1003,Lowe's,878,13744.39,7079.84
2024-10,BTR-1003,Target,948,14840.18,7644.29
2024-10,BTR-1003,Walmart,1017,15920.32,8200.68
2024-10,BTR-1003,Costco,810,12679.9,6531.52
2024-10,BTR-1003,Kroger,164,2567.29,1322.43
2024-10,BTR-1003,Whole Foods,276,4320.56,2225.55
2024-10,BTR-1003,Amazon,1563,36279.42,12603.41
2024-10,BTR-1003,DTC Shopify,801,18592.33,6458.94
2024-11,BTR-1003,Home Depot,990,15497.66,7982.96
2024-11,BTR-1003,Lowe's,649,10159.58,5233.28
2024-11,BTR-1003,Target,654,10237.85,5273.59
2024-11,BTR-1003,Walmart,857,13415.65,6910.51
2024-11,BTR-1003,Costco,616,9642.99,4967.18
2024-11,BTR-1003,Kroger,103,1612.38,830.55
2024-11,BTR-1003,Whole Foods,208,3256.07,1677.23
2024-11,BTR-1003,Amazon,1078,25021.89,8692.56
2024-11,BTR-1003,DTC Shopify,609,14135.74,4910.73
2024-12,BTR-1003,Home Depot,1060,16593.45,8547.42
2024-12,BTR-1003,Lowe's,688,10770.09,5547.76
2024-12,BTR-1003,Target,721,11286.68,5813.86
2024-12,BTR-1003,Walmart,710,11114.48,5725.16
2024-12,BTR-1003,Costco,702,10989.25,5660.65
2024-12,BTR-1003,Kroger,106,1659.35,854.74
2024-12,BTR-1003,Whole Foods,228,3569.16,1838.5
2024-12,BTR-1003,Amazon,1253,29083.88,10103.69
2024-12,BTR-1003,DTC Shopify,724,16805.05,5838.05
